U,E_p,m_cdw,m_sdw,V,S,E_GS,Coh,E_p_bits
-5.0,0.18060937453789783,-0.5568215380546603,-0.1297361202600626,1.0,0.46164301412540354,-11.638600383980755,0.522881186072478,0.26056424898388286
-5.0,0.12024170673136836,-0.6404693283051728,-0.15053112373053307,1.3333333333333333,0.39419586050084765,-11.388416844516824,0.47624808193433543,0.17347211400937068
-5.0,0.0808983890957522,-0.6891225784518242,-0.1647575970963114,1.6666666666666667,0.3496921813872538,-11.206577319007017,0.438406659133848,0.11671170476434733
-5.0,0.055957107201755285,-0.719935718462866,-0.17497305746012573,2.0,0.31614277906985705,-11.0562127377119,0.39338242481155355,0.08072904106246437
-5.0,0.04025717254375505,-0.7375503981994191,-0.18077338699696538,2.3333333333333335,0.3014300573197303,-10.962305578641717,0.3854627457931084,0.05807882318908675
-5.0,0.029867622043839637,-0.750335327192127,-0.18532345838616307,2.6666666666666665,0.28832131081637097,-10.876058589248927,0.3667679337260534,0.04308987020579336
-5.0,0.02273644181264589,-0.7595514097785403,-0.18849701662252855,3.0,0.2787951029315153,-10.80498730793564,0.3511641894665927,0.03280175185056455
-5.0,0.017926230338553006,-0.7664748430016128,-0.19124926336163175,3.3333333333333335,0.2726821294303078,-10.743563772775722,0.3363790614150704,0.025862083611263298
-5.0,0.013895802381269196,-0.7713674571319168,-0.19254795404821518,3.6666666666666665,0.2625417975346364,-10.69408443251696,0.32485985844328996,0.020047405184630218
-5.0,0.011542080826259626,-0.775556769505707,-0.19366475871525934,4.0,0.26252634694165805,-10.64835527294978,0.3149370363808903,0.016651702769584276
-4.5,0.00757081776355073,0.39291799300508956,0.17963039373150697,-4.0,0.23819400840947944,-33.610941153159814,0.266592062164022,0.010922381242948642
-4.5,0.009340800251584014,0.3924984672697751,0.17592812508434508,-3.6666666666666665,0.24380827270842714,-31.6538879203638,0.2781919614624734,0.013475926200894772
-4.5,0.01938723272447107,0.38987382806804,0.16930441129841953,-3.3333333333333335,0.2541685451409143,-29.70341283902114,0.29588497614728837,0.02796986450815453
-4.5,0.039069572016667165,0.385963637307464,0.16036160984069564,-3.0,0.26808976071548496,-27.753544633679926,0.30051562073088184,0.05636547779809975
-4.5,0.11061434384392332,0.3552590228407289,0.12752583673738624,-2.6666666666666665,0.3203539334044048,-25.815451864352458,0.3517805399437013,0.15958276531481497
