U,V,magnetization,charge_density
-5.510204081632653,-3.020408163265306,"0.015165949066112216, 0.45952883389058474, 0.05052097784467313, 0.4596127632194026, 0.015171475979227267","0.030853246613717182, 1.4952446843643918, 1.9480067459123174, 1.4950568384976712, 0.030838484611903777"
-5.510204081632653,-2.857142857142857,"0.016794988232482135, 0.4553027068714388, 0.05556028005645175, 0.4559846101931352, 0.016357414646492034","0.033491038540301825, 1.496522780942502, 1.9427885347997012, 1.4945618017703244, 0.032635843947171374"
-5.510204081632653,-2.693877551020408,"0.017965572873131747, 0.4514464084949896, 0.06117647663874881, 0.45144582933688204, 0.017965712656248283","0.03512565237993013, 1.4963684754069706, 1.9370103440953579, 1.496369619900252, 0.03512590821749041"
-5.510204081632653,-2.5306122448979593,"0.019819119441312004, 0.4463066962889298, 0.06774759207468639, 0.44630969034757073, 0.01981690184750107","0.03795426024596846, 1.4969624687769119, 1.930180424699384, 1.496953250688892, 0.03794959558884323"
-5.510204081632653,-2.36734693877551,"0.021963207747357077, 0.4403880213380085, 0.07529853944429898, 0.4403846565009347, 0.021965574969400704","0.04119391702366536, 1.4976442550147493, 1.9223085610354929, 1.4976541797650702, 0.04119908716102294"
-5.510204081632653,-2.204081632653061,"0.024449607017345505, 0.4335566482594979, 0.08399657774668201, 0.4335278894794464, 0.024469277497028215","0.04491883747168963, 1.4984100763271564, 1.9132067421075567, 1.4984996253692189, 0.04496471872437648"
-5.510204081632653,-2.0408163265306123,"0.027396032584056984, 0.42557940382940274, 0.09404829036394458, 0.4255838019647239, 0.027392471257871552","0.04935623583972064, 1.4993408469497447, 1.902629846987533, 1.499325392946583, 0.04934767727642115"
-5.510204081632653,-1.8775510204081634,"0.030828865446355776, 0.4163411143555412, 0.10566008440109964, 0.41634086658679603, 0.030829069210208036","0.05452365584011653, 1.5003117116977824, 1.8903277841723054, 1.500312656558679, 0.05452419173111725"
-5.510204081632653,-1.7142857142857142,"0.034876868726491365, 0.4055827043240664, 0.11908076528887024, 0.4055837772531351, 0.03487588440743708","0.06069053295607201, 1.5013279139401687, 1.8759702848952338, 1.5013235035916117, 0.06068776461691422"
-5.510204081632653,-1.5510204081632653,"0.03965469087223242, 0.3930648298892613, 0.13456094576301614, 0.3930652452538801, 0.03965428822160971","0.06812627363416028, 1.502286250825004, 1.85917774916077, 1.502284598819754, 0.06812512756031014"
-5.510204081632653,-1.3877551020408163,"0.04530757062916149, 0.37852031548458887, 0.15234421812199694, 0.3785201830459185, 0.04530771271833482","0.07725329364088891, 1.5030052207856779, 1.8394819465085135, 1.503005798782703, 0.07725374028221708"
-5.510204081632653,-1.2244897959183674,"0.052008515001830104, 0.36167724489367226, 0.17262848140889187, 0.3616772585529153, 0.052008500142690775","0.08873250446207129, 1.503131573958959, 1.8162719457617265, 1.5031315199185067, 0.08873245589873795"
-5.510204081632653,-1.0612244897959184,"0.05997600788267107, 0.3422697914701325, 0.19550838359498923, 0.3422697691368626, 0.059976047915344964","0.10371799003781232, 1.5019656113744964, 1.788632373472768, 1.5019658495751609, 0.10371817553976309"
-5.510204081632653,-0.8979591836734694,"0.06951509130731462, 0.32004900010947, 0.22087166582154372, 0.32004855082777994, 0.0695156919338929","0.12447630583703212, 1.4980735378488859, 1.7548948853120232, 1.4980760707907192, 0.12447920021134257"
